iter	RMSE
0	0.75305932
1	0.7107070763
2	0.6713507679
3	0.6341824078
4	0.6016264817
5	0.5699047946
6	0.5410002747
7	0.5146542228
8	0.4907228298
9	0.4691001709
10	0.4486795596
11	0.4302601067
12	0.4136036505
13	0.3979548677
14	0.3840673576
15	0.3714485989
16	0.3597691259
17	0.3491996596
18	0.3394107308
19	0.3304354055
20	0.3223281948
21	0.314972529
22	0.3085581316
23	0.302597602
24	0.2974803471
25	0.2925102666
26	0.2881868049
27	0.2832738199
28	0.2790911022
29	0.275170675
30	0.2715215994
31	0.2682438313
32	0.2654229105
33	0.2628594128
34	0.2605024371
35	0.2583128284
36	0.2564784544
37	0.2548703097
38	0.2531378552
39	0.2516428911
40	0.2500381689
41	0.2488360885
42	0.2477650264
43	0.2466221011
44	0.245444799
45	0.2444820507
46	0.2437075044
47	0.2429251904
48	0.2421829754
49	0.2413309518
50	0.2407918584
51	0.2402081405
52	0.2397193848
53	0.2391702997
54	0.2387465078
55	0.2382552519
56	0.2378359465
57	0.2373216694
58	0.2367438603
59	0.2363285641
60	0.2359677888
61	0.2355583538
62	0.2349759898
63	0.2345487966
64	0.234102094
65	0.2336378401
66	0.233223534
67	0.2327897118
68	0.2324813844
69	0.2321617019
70	0.2319712815
71	0.2316425662
72	0.2313417713
73	0.2310566645
74	0.2306685176
75	0.23027115
76	0.2299328991
77	0.2295821449
78	0.2292043385
79	0.2289184222
80	0.2285906748
81	0.2282797911
82	0.2281146302
83	0.2278764952
84	0.2275641231
85	0.2273555671
86	0.2271741095
87	0.2269353528
88	0.22666388
89	0.2264503054
90	0.2262814213
91	0.2259417585
92	0.2257283106
93	0.2256040447
94	0.2253970799
95	0.2251069526
96	0.224897656
97	0.2247353624
98	0.2246281937
99	0.2244473209
100	0.2242964309
101	0.2241376766
102	0.2239309554
103	0.2237599627
104	0.2235479124
105	0.2233332233
106	0.2232515284
107	0.2230159935
108	0.2228588344
109	0.2227169822
110	0.2225884014
111	0.2225099315
112	0.2223356694
113	0.2221983745
114	0.2220859678
115	0.222006958
116	0.2218890262
117	0.2216001883
118	0.2215121158
119	0.2213499313
120	0.2212407713
121	0.2210544292
122	0.2207548063
123	0.2205994808
124	0.2204448559
125	0.2202452508
126	0.2201300647
127	0.2200704838
128	0.2199139019
129	0.2197994324
130	0.2196531266
131	0.2194440157
132	0.219389885
133	0.2192797672
134	0.2192260708
135	0.2190875249
136	0.2189942163
137	0.2189035502
138	0.2187971658
139	0.2186987076
140	0.2186227104
141	0.2184429217
142	0.218250791
143	0.2181344527
144	0.2180795519
145	0.2179360758
146	0.2178763573
147	0.2177962035
148	0.2176726341
149	0.2175684475
150	0.2175195606
151	0.2173598699
152	0.2173113359
153	0.217180429
154	0.217103162
155	0.2170290491
156	0.2169694559
157	0.2168415089
158	0.2166741671
159	0.2165775812
160	0.2163272727
161	0.2162321428
162	0.21614671
163	0.216091634
164	0.2159838593
165	0.2159011164
166	0.2157985262
167	0.2157696295
168	0.215555883
169	0.2154755236
170	0.2154053803
171	0.2153106785
172	0.2152093256
173	0.2150409837
174	0.2149672881
175	0.2148989418
176	0.2148370924
177	0.214779625
178	0.2147263347
179	0.2146433706
180	0.2145876809
181	0.214435468
182	0.2143868901
183	0.2143237841
184	0.2142541557
185	0.2141887037
186	0.2141513103
187	0.2140711412
188	0.2139464017
189	0.2138362845
190	0.2137686996
191	0.2136563891
192	0.2136069617
193	0.2135625387
194	0.2134878742
195	0.2134233603
196	0.2133561083
197	0.2133256524
198	0.213272749
199	0.2132419051
200	0.2131983657
201	0.2131555624
202	0.2130901548
203	0.2130212282
204	0.2128682257
205	0.2128210442
206	0.2127678529
207	0.2127269242
208	0.2126351292
209	0.2126014018
210	0.2125445436
211	0.2124945707
212	0.2123488046
213	0.2122632024
214	0.2122042946
215	0.2121382839
216	0.2120998091
217	0.2120440938
218	0.2120191936
219	0.2120007526
220	0.2119521478
221	0.2119040333
222	0.2117883472
223	0.2117302949
224	0.2116525997
225	0.2116067658
226	0.2115708338
227	0.2115149076
228	0.2114701519
229	0.2114455561
230	0.2114204004
231	0.2113552848
232	0.2112910992
233	0.2112167128
234	0.2111184792
235	0.2110603699
236	0.2110261689
237	0.2109958157
238	0.2108957562
239	0.2108679303
240	0.2107559966
241	0.2107012073
242	0.2106397996
243	0.2105829938
244	0.2104817301
245	0.2104033954
246	0.2103527694
247	0.2102995348
248	0.21027818
249	0.2102220432
250	0.2101947983
251	0.210126839
252	0.2100641926
253	0.2099953453
254	0.2099444294
255	0.2099368201
256	0.2098632031
257	0.2098106874
258	0.2097736302
259	0.2096771833
260	0.2096540621
261	0.2096249195
262	0.2095415977
263	0.209506012
264	0.209470197
265	0.2094142803
266	0.2093676435
267	0.2093235014
268	0.2092838101
269	0.2092043205
270	0.2091829519
271	0.2091201231
272	0.2090938478
273	0.2090674014
274	0.2090284581
275	0.2089813279
276	0.2088797988
277	0.2088180321
278	0.2087810765
279	0.2087046697
280	0.2086436237
281	0.2085971954
282	0.2085764073
283	0.2085530389
284	0.2085314894
285	0.2084637767
286	0.2083991293
287	0.2083367713
288	0.2083104991
289	0.2083037875
290	0.2081976017
291	0.2081543275
292	0.2081232982
293	0.2080558684
294	0.2079951917
295	0.2079117616
296	0.2078416228
297	0.2077742441
298	0.2077072545
299	0.207624895
300	0.2075875027
301	0.2075500965
302	0.2075031771
303	0.2074650437
304	0.2073973494
305	0.2073119668
306	0.2072688231
307	0.207240238
308	0.2072233981
309	0.2071891216
310	0.2071268672
311	0.2070853323
312	0.2070483899
313	0.2070379941
314	0.2070107713
315	0.2069779926
316	0.2069200756
317	0.2068855509
318	0.2068239113
319	0.2067949778
320	0.206745743
321	0.2067252168
322	0.2067004085
323	0.2066882338
324	0.2066687727
325	0.2066141966
326	0.2066088399
327	0.2065628064
328	0.2065213823
329	0.2064626468
330	0.2064108456
331	0.2063711539
332	0.2063397595
333	0.2063167427
334	0.2062795023
335	0.2062498602
336	0.2062321581
337	0.2062040275
338	0.2061743635
339	0.2061640127
340	0.2061426832
341	0.2061139224
342	0.2060778628
343	0.2060634354
344	0.2059951815
345	0.2059766277
346	0.2059552031
347	0.2058961363
348	0.205853267
349	0.205807772
350	0.205774452
351	0.2057479298
352	0.2057268378
353	0.2057123374
354	0.2056735126
355	0.2056177421
356	0.2055865054
357	0.2055468989
358	0.2055177338
359	0.2054827253
360	0.2054628397
361	0.2054397696
362	0.2053832352
363	0.205348406
364	0.2053274704
365	0.2052939945
366	0.2052716992
367	0.2052231079
368	0.2051890473
369	0.2051561433
370	0.205125006
371	0.2051123522
372	0.2050960458
373	0.2050790396
374	0.2050417334
375	0.2050259334
376	0.2050096763
377	0.2050004415
378	0.2049724091
379	0.2049169622
380	0.2049079358
381	0.2048318793
382	0.2048073023
383	0.2047490613
384	0.2047243183
385	0.204698616
386	0.2046804724
387	0.2046115468
388	0.2045648437
389	0.2045321106
390	0.2045045498
391	0.204461101
392	0.2044128679
393	0.2043677976
394	0.2043320089
395	0.2043015987
396	0.2042741356
397	0.2042433229
398	0.2042231994
399	0.2041929801
400	0.2041349498
401	0.2041020847
402	0.2040570468
403	0.2040243684
404	0.2040034629
405	0.2039811355
406	0.2039389086
407	0.2038992452
408	0.2038805058
409	0.2038464658
410	0.2038316806
411	0.2038005355
412	0.20377737
413	0.2037341445
414	0.2037169342
415	0.2037112563
416	0.2036922066
417	0.2036578945
418	0.203632308
419	0.203592094
420	0.2035721013
421	0.203542464
422	0.2035292402
423	0.2035208836
424	0.2034993914
425	0.2034539545
426	0.2034354924
427	0.2033967896
428	0.2033763673
429	0.2033548964
430	0.2033338952
431	0.2032911019
432	0.2032739777
433	0.2032225616
434	0.2031944624
435	0.2031600584
436	0.2031540079
437	0.2031310911
438	0.2031012383
439	0.203082384
440	0.2030651636
441	0.2030365158
442	0.2029659286
443	0.2029160331
444	0.2028870514
445	0.2028556463
446	0.2028312742
447	0.2028101508
448	0.2027786174
449	0.2027528771
450	0.2027311132
451	0.2026913419
452	0.2026616395
453	0.2026416637
454	0.2026150803
455	0.2025977141
456	0.2025817371
457	0.2025720048
458	0.2025455211
459	0.2025135242
460	0.202497916
461	0.2024794061
462	0.2024660552
463	0.2024424774
464	0.2024183306
465	0.2024076217
466	0.2023935096
467	0.2023792316
468	0.2023601741
469	0.2023281066
470	0.2023215384
471	0.2022766371
472	0.202245106
473	0.2022430385
474	0.2022144759
475	0.2021813792
476	0.2021387501
477	0.202127272
478	0.2021189898
479	0.2021136672
