iter	Passed	Remaining
0	208	208180
1	268	133928
2	333	110873
3	392	97750
4	464	92363
5	542	89844
6	601	85295
7	662	82179
8	728	80206
9	787	77950
10	846	76126
11	909	74866
12	980	74455
13	1041	73378
14	1110	72918
15	1173	72185
16	1232	71258
17	1292	70538
18	1351	69787
19	1410	69106
20	1468	68440
21	1528	67929
22	1587	67446
23	1653	67254
24	1706	66540
25	1763	66080
26	1833	66080
27	1906	66198
28	1970	65992
29	2031	65695
30	2106	65830
31	2173	65738
32	2236	65546
33	2296	65247
34	2368	65300
35	2428	65031
36	2488	64769
37	2555	64697
38	2612	64372
39	2687	64510
40	2749	64312
41	2817	64273
42	2907	64717
43	2975	64649
44	3052	64784
45	3126	64836
46	3196	64812
47	3263	64726
48	3331	64658
49	3406	64725
50	3466	64502
51	3533	64418
52	3601	64346
53	3661	64139
54	3741	64280
55	3803	64110
56	3870	64025
57	3930	63841
58	4018	64092
59	4081	63938
60	4148	63854
61	4209	63691
62	4272	63552
63	4332	63365
64	4413	63484
65	4486	63486
66	4556	63446
67	4620	63326
68	4716	63640
69	4784	63559
70	4862	63617
71	4928	63529
72	4992	63393
73	5049	63193
74	5117	63110
75	5185	63048
76	5253	62970
77	5343	63159
78	5411	63094
79	5471	62923
80	5532	62772
81	5600	62695
82	5709	63080
83	5769	62919
84	5833	62794
85	5905	62760
86	5976	62716
87	6042	62618
88	6101	62451
89	6165	62337
90	6229	62229
91	6289	62078
92	6352	61952
93	6415	61833
94	6483	61759
95	6542	61604
96	6597	61415
97	6668	61373
98	6729	61246
99	6802	61224
100	6863	61095
101	6948	61176
102	7014	61091
103	7089	61079
104	7156	60999
105	7223	60922
106	7283	60788
107	7342	60641
108	7403	60522
109	7463	60383
110	7538	60377
111	7601	60272
112	7672	60229
113	7734	60109
114	7804	60057
115	7879	60047
116	7948	59983
117	8011	59879
118	8069	59741
119	8128	59611
120	8188	59487
121	8241	59308
122	8303	59205
123	8363	59082
124	8425	58975
125	8486	58866
126	8540	58705
127	8601	58598
128	8667	58525
129	8726	58401
130	8796	58349
131	8854	58225
132	8909	58076
133	8981	58042
134	9043	57948
135	9100	57812
136	9156	57680
137	9233	57674
138	9286	57523
139	9343	57393
140	9402	57279
141	9464	57189
142	9523	57075
143	9579	56942
144	9648	56893
145	9724	56880
146	9838	57087
147	9942	57237
148	10040	57347
149	10119	57342
150	10185	57270
151	10245	57161
152	10312	57087
153	10374	56990
154	10436	56896
155	10499	56805
156	10557	56687
157	10634	56670
158	10700	56595
159	10767	56531
160	10844	56511
161	10910	56438
162	10974	56354
163	11031	56235
164	11105	56202
165	11178	56163
166	11275	56242
167	11342	56170
168	11419	56150
169	11486	56080
170	11563	56056
171	11631	55992
172	11698	55920
173	11763	55841
174	11842	55828
175	11900	55715
176	11967	55645
177	12036	55582
178	12104	55517
179	12179	55484
180	12247	55417
181	12305	55307
182	12371	55233
183	12459	55254
184	12525	55181
185	12596	55124
186	12660	55041
187	12740	55028
188	12821	55015
189	12899	54994
190	12967	54927
191	13033	54847
192	13107	54809
193	13166	54703
194	13235	54638
195	13309	54596
196	13374	54516
197	13437	54430
198	13508	54373
199	13574	54297
200	13657	54291
201	13739	54279
202	13794	54160
203	13855	54064
204	13935	54044
205	14002	53969
206	14085	53960
207	14156	53902
208	14229	53852
209	14300	53797
210	14351	53666
211	14410	53563
212	14467	53456
213	14541	53407
214	14621	53383
215	14685	53301
216	14760	53260
217	14822	53170
218	14880	53067
219	14948	52999
220	15039	53011
221	15121	52992
222	15195	52944
223	15277	52925
224	15346	52858
225	15411	52782
226	15486	52737
227	15573	52729
228	15660	52724
229	15729	52660
230	15794	52579
231	15868	52530
232	15944	52486
233	16023	52452
234	16088	52374
235	16152	52289
236	16223	52229
237	16375	52429
238	16449	52377
239	16521	52319
240	16580	52219
241	16644	52135
242	16713	52065
243	16796	52042
244	16866	51977
245	16926	51879
246	16984	51779
247	17045	51685
248	17110	51607
249	17172	51516
250	17240	51446
251	17323	51421
252	17389	51344
253	17448	51247
254	17505	51143
255	17577	51084
256	17667	51077
257	17728	50986
258	17807	50946
259	17869	50860
260	17930	50768
261	17988	50668
262	18056	50600
263	18122	50523
264	18186	50440
265	18275	50429
266	18341	50353
267	18408	50279
268	18481	50223
269	18550	50155
270	18621	50092
271	18670	49971
272	18721	49856
273	18782	49766
274	18838	49665
275	18896	49569
276	18973	49523
277	19060	49501
278	19119	49410
279	19178	49317
280	19243	49238
281	19305	49154
282	19381	49105
283	19466	49077
284	19531	48999
285	19594	48918
286	19669	48865
287	19729	48776
288	19798	48707
289	19853	48607
290	19912	48516
291	19976	48435
292	20040	48356
293	20106	48283
294	20176	48218
295	20261	48189
296	20324	48107
297	20388	48030
298	20466	47984
299	20531	47906
300	20604	47849
301	20671	47776
302	20749	47730
303	20813	47651
304	20883	47588
305	20943	47499
306	21005	47415
307	21069	47338
308	21156	47310
309	21234	47264
310	21307	47204
311	21374	47133
312	21449	47078
313	21517	47009
314	21583	46936
315	21654	46873
316	21725	46810
317	21805	46765
318	21871	46690
319	21939	46620
320	22012	46561
321	22074	46479
322	22134	46392
323	22191	46301
324	22260	46233
325	22324	46155
326	22392	46086
327	22462	46020
328	22529	45949
329	22586	45858
330	22650	45780
