iter	R2	RMSE
0	0.05143573889	0.7795336031
1	0.1105059867	0.7548714092
2	0.164998821	0.7313832439
3	0.2216939709	0.706116987
4	0.2657117234	0.6858588695
5	0.306763021	0.6664112539
6	0.3481469474	0.6462139274
7	0.3913938313	0.6244096942
8	0.4288722507	0.6048784231
9	0.4596009802	0.5883811332
10	0.4937621115	0.5694804048
11	0.5201524487	0.5544381471
12	0.5495295081	0.5371983078
13	0.5733019083	0.5228315805
14	0.5959857983	0.5087445593
15	0.6133496842	0.4976919848
16	0.6281280783	0.4880880289
17	0.6444679952	0.4772443691
18	0.66410848	0.4638750155
19	0.680960117	0.4520890111
20	0.6978595532	0.4399526071
21	0.7118951834	0.4296123144
22	0.7234578316	0.420903119
23	0.73670436	0.4106986694
24	0.7480175617	0.4017784131
25	0.7568514349	0.3946729097
26	0.7660459078	0.3871388762
27	0.775340939	0.3793703906
28	0.7837663297	0.3721886474
29	0.790504813	0.3663434972
30	0.7984203204	0.3593559477
31	0.805593515	0.3529042073
32	0.8103643397	0.348547094
33	0.8168233534	0.3425598929
34	0.8219429346	0.3377388869
35	0.8269457557	0.3329604038
36	0.8316814966	0.3283729636
37	0.8361213017	0.3240132086
38	0.8405261629	0.3196290058
39	0.844213708	0.3159119703
40	0.8477002336	0.3123568832
41	0.8504922419	0.3094805262
42	0.8536983328	0.3061442449
43	0.8569545449	0.3027181732
44	0.8593457938	0.3001772842
45	0.8618625261	0.2974796193
46	0.8648228735	0.2942747959
47	0.8667787918	0.2921380634
48	0.8688858468	0.2898185967
49	0.8713954641	0.2870315295
50	0.8732741237	0.2849273334
51	0.874775314	0.2832346861
52	0.876429011	0.2813582949
53	0.8780059229	0.2795572985
54	0.8790390083	0.2783710909
55	0.880588295	0.2765826363
56	0.8817385608	0.2752472839
57	0.8831096541	0.2736470583
58	0.8842994152	0.2722508467
59	0.8853625912	0.2709970994
60	0.8865420651	0.2695993863
61	0.8875666661	0.2683792942
62	0.8884482965	0.2673249938
63	0.8892634475	0.2663464799
64	0.8899248569	0.2655498689
65	0.8909496148	0.2643108942
66	0.8915669887	0.2635616522
67	0.8922773127	0.2626969627
68	0.8927506143	0.2621192211
69	0.8932567604	0.2614999751
70	0.8936186505	0.2610563188
71	0.8945868872	0.2598655928
72	0.8953289962	0.2589492494
73	0.8960322839	0.2580778392
74	0.8963417595	0.2576934492
75	0.8965470905	0.2574380971
76	0.8970971909	0.2567527342
77	0.8976513851	0.2560604161
78	0.8982878387	0.2552630203
79	0.8989538515	0.2544259145
80	0.8994830413	0.2537588117
81	0.899782573	0.2533804402
82	0.9001318904	0.2529384638
83	0.9006094056	0.252333032
84	0.9010607151	0.2517594874
85	0.90147741	0.2512287701
86	0.9019058297	0.2506819482
87	0.9023018109	0.2501754669
88	0.9027008709	0.2496640082
89	0.9029196009	0.2493832259
90	0.9031835864	0.2490439279
91	0.9035200749	0.2486107712
92	0.9038022265	0.248246979
93	0.9041572915	0.247788417
94	0.9043985499	0.2474763499
95	0.9046780589	0.247114313
