iter	Passed	Remaining
0	78	234513
1	174	261658
2	231	231647
3	313	234844
4	355	212777
5	430	214779
6	501	214400
7	598	223774
8	679	225684
9	729	218021
10	813	221143
11	895	223084
12	979	225026
13	1027	219126
14	1109	220751
15	1181	220345
16	1236	217003
17	1319	218643
18	1404	220303
19	1484	221244
20	1578	223958
21	1662	225003
22	1741	225410
23	1822	226010
24	1895	225575
25	1978	226299
26	2060	226880
27	2131	226267
28	2209	226409
29	2266	224410
30	2349	225027
31	2426	225096
32	2470	222092
33	2563	223600
34	2657	225127
35	2763	227566
36	2888	231308
37	2978	232171
38	3069	233069
39	3126	231334
40	3221	232503
41	3301	232509
42	3384	232767
43	3481	233913
44	3528	231679
45	3614	232136
46	3719	233674
47	3802	233879
48	3878	233583
49	3964	233905
50	4034	233275
51	4124	233822
52	4200	233553
53	4279	233482
54	4351	233011
55	4432	233004
56	4518	233301
57	4625	234616
58	4721	235340
59	4810	235691
60	4893	235793
61	4974	235720
62	5060	235919
63	5111	234503
64	5195	234608
65	5278	234674
66	5339	233734
67	5423	233844
68	5454	231701
69	5504	230414
70	5537	228448
71	5620	228578
72	5722	229443
73	5825	230327
74	5871	228989
75	5911	227434
76	6024	228678
77	6130	229647
78	6252	231194
79	6344	231586
80	6420	231379
81	6466	230123
82	6559	230538
83	6639	230483
84	6786	232728
85	6876	232998
86	6966	233246
87	7037	232882
88	7121	232926
89	7200	232828
90	7266	232272
91	7355	232500
92	7393	231105
93	7470	230955
94	7570	231491
95	7653	231529
96	7728	231289
97	7815	231426
98	7896	231379
99	7976	231331
100	8051	231088
101	8123	230813
102	8204	230755
103	8281	230607
104	8322	229450
105	8400	229348
106	8479	229260
107	8571	229518
108	8652	229487
109	8732	229423
110	8801	229066
111	8871	228750
112	8947	228604
113	9020	228354
114	9095	228167
115	9117	226678
116	9201	226734
117	9270	226422
118	9319	225624
119	9340	224169
120	9408	223864
121	9486	223779
122	9578	224052
123	9617	223067
124	9711	223373
125	9794	223409
126	9840	222608
127	9913	222437
128	9982	222161
129	10065	222218
130	10140	222085
131	10226	222203
132	10304	222126
133	10384	222102
134	10472	222253
135	10564	222469
136	10641	222384
137	10677	221448
138	10755	221371
139	10829	221237
140	10896	220953
141	10968	220761
142	11051	220791
143	11132	220804
144	11214	220801
145	11236	219657
146	11309	219497
147	11334	218418
148	11351	217211
149	11400	216605
150	11477	216559
151	11567	216730
152	11649	216769
153	11717	216551
154	11737	215432
155	11813	215374
156	11897	215446
157	11927	214537
158	11989	214224
159	12067	214189
160	12148	214215
161	12215	214005
162	12310	214258
163	12378	214059
164	12435	213662
165	12514	213652
166	12560	213082
167	12609	212560
168	12680	212409
169	12773	212634
170	12852	212631
171	12935	212675
172	13013	212653
173	13099	212746
174	13172	212646
175	13192	211674
176	13270	211655
177	13291	210722
178	13368	210679
179	13450	210723
180	13525	210649
181	13613	210777
182	13670	210428
183	13757	210547
184	13820	210290
185	13892	210186
186	13964	210059
187	14048	210132
188	14135	210240
189	14207	210119
190	14292	210192
191	14359	210014
192	14396	209381
193	14467	209254
194	14557	209404
195	14607	208977
196	14681	208887
197	14755	208814
198	14832	208778
199	14909	208730
200	14998	208855
201	15059	208595
202	15139	208597
203	15188	208168
204	15265	208127
205	15353	208244
206	15412	207954
207	15495	207995
208	15538	207495
209	15615	207464
210	15693	207440
211	15747	207094
212	15832	207161
213	15905	207074
214	15980	207006
215	16055	206937
216	16142	207023
217	16216	206951
218	16299	206975
219	16375	206925
220	16450	206856
221	16539	206969
222	16612	206879
223	16693	206882
224	16745	206528
225	16825	206525
226	16895	206392
227	16977	206408
228	17055	206383
229	17152	206575
230	17260	206900
231	17372	207276
232	17449	207216
233	17537	207305
234	17624	207366
235	17707	207388
236	17798	207498
237	17883	207538
238	17962	207506
239	18040	207469
240	18122	207470
241	18213	207575
242	18299	207617
243	18338	207138
244	18419	207120
245	18510	207225
246	18593	207235
247	18680	207295
248	18767	207341
249	18849	207348
250	18933	207363
251	19012	207321
252	19094	207327
253	19178	207335
254	19257	207302
255	19333	207232
256	19466	207765
257	19596	208264
258	19691	208400
259	19810	208776
260	19943	209288
261	20050	209536
262	20149	209687
263	20253	209899
264	20356	210093
265	20450	210198
266	20583	210694
267	20682	210834
268	20786	211032
269	20884	211164
270	20977	211248
271	21082	211445
272	21179	211563
273	21265	211568
274	21380	211863
275	21475	211958
276	21576	212102
277	21677	212249
278	21774	212359
279	21868	212433
280	21960	212493
281	22045	212483
282	22146	212622
283	22258	212862
284	22340	212823
285	22412	212686
286	22507	212762
287	22595	212772
288	22695	212896
289	22771	212796
290	22862	212832
291	22942	212766
292	23025	212726
293	23106	212678
294	23200	212735
295	23309	212939
296	23412	213081
297	23524	213301
298	23630	213466
299	23728	213553
300	23835	213725
301	23954	214002
302	24064	214193
303	24157	214241
304	24241	214200
305	24325	214158
